adm0_name,date,day_of_week,cum_cases,mob_resid
Albania,2020-04-26,6,726,
Albania,2020-04-27,0,736,
Albania,2020-04-28,1,750,
Albania,2020-04-29,2,766,
Albania,2020-04-30,3,773,
Albania,2020-05-01,4,782,
Albania,2020-05-02,5,789,
Albania,2020-05-03,6,795,
Albania,2020-05-04,0,803,
Albania,2020-05-05,1,820,
Albania,2020-05-06,2,832,
Albania,2020-05-07,3,842,
Albania,2020-05-08,4,850,
Albania,2020-05-09,5,856,
Albania,2020-05-10,6,868,
Albania,2020-05-11,0,872,
Albania,2020-05-12,1,876,
Albania,2020-05-13,2,880,
Albania,2020-05-14,3,898,
Albania,2020-05-15,4,916,
Albania,2020-05-16,5,933,
Albania,2020-05-17,6,946,
Albania,2020-05-18,0,948,
Albania,2020-05-19,1,949,
Albania,2020-05-20,2,964,
Albania,2020-05-21,3,969,
Albania,2020-05-22,4,981,
Albania,2020-05-23,5,989,
Albania,2020-05-24,6,998,
Albania,2020-05-25,0,1004,
Albania,2020-05-26,1,1029,
Albania,2020-05-27,2,1050,
Albania,2020-05-28,3,1076,
Albania,2020-05-29,4,1099,
Algeria,2020-02-16,6,0,
Algeria,2020-02-17,0,0,
Algeria,2020-02-18,1,0,
Algeria,2020-02-19,2,0,
Algeria,2020-02-20,3,0,
Algeria,2020-02-21,4,0,
Algeria,2020-02-22,5,0,
Algeria,2020-02-23,6,0,
Algeria,2020-02-24,0,0,
Algeria,2020-02-25,1,1,
Algeria,2020-02-26,2,1,
Algeria,2020-02-27,3,1,
Algeria,2020-02-28,4,1,
Algeria,2020-02-29,5,1,
Algeria,2020-03-01,6,1,
Algeria,2020-03-02,0,3,
Algeria,2020-03-03,1,5,
Algeria,2020-03-04,2,12,
Algeria,2020-03-05,3,12,
Algeria,2020-03-06,4,17,
Algeria,2020-03-07,5,17,
Algeria,2020-03-08,6,19,
Algeria,2020-03-09,0,20,
Algeria,2020-03-10,1,20,
Algeria,2020-03-11,2,20,
Algeria,2020-03-12,3,24,
Algeria,2020-03-13,4,26,
Algeria,2020-03-14,5,37,
Algeria,2020-03-15,6,48,
Algeria,2020-03-16,0,54,
Algeria,2020-03-17,1,60,
Algeria,2020-03-18,2,74,
Algeria,2020-03-19,3,87,
Algeria,2020-03-20,4,90,
Algeria,2020-03-21,5,139,
Algeria,2020-03-22,6,201,
Algeria,2020-03-23,0,230,
Algeria,2020-03-24,1,264,
Algeria,2020-03-25,2,302,
Algeria,2020-03-26,3,367,
Algeria,2020-03-27,4,409,
Algeria,2020-03-28,5,454,
Algeria,2020-03-29,6,511,
Algeria,2020-03-30,0,584,
Algeria,2020-03-31,1,716,
Algeria,2020-04-01,2,847,
Algeria,2020-04-02,3,986,
Algeria,2020-04-03,4,1171,
Algeria,2020-04-04,5,1251,
Algeria,2020-04-05,6,1320,
Algeria,2020-04-06,0,1423,
Algeria,2020-04-07,1,1468,
Algeria,2020-04-08,2,1572,
Algeria,2020-04-09,3,1666,
Algeria,2020-04-10,4,1761,
Algeria,2020-04-11,5,1825,
Algeria,2020-04-12,6,1914,
Algeria,2020-04-13,0,1983,
Algeria,2020-04-14,1,2070,
Algeria,2020-04-15,2,2160,
Algeria,2020-04-16,3,2268,
Algeria,2020-04-17,4,2418,
Algeria,2020-04-18,5,2534,
Algeria,2020-04-19,6,2629,
Algeria,2020-04-20,0,2718,
Algeria,2020-04-21,1,2811,
Algeria,2020-04-22,2,2910,
Algeria,2020-04-23,3,3007,
Algeria,2020-04-24,4,3127,
Algeria,2020-04-25,5,3256,
Algeria,2020-04-26,6,3382,
Algeria,2020-04-27,0,3517,
Algeria,2020-04-28,1,3649,
Algeria,2020-04-29,2,3848,
Algeria,2020-04-30,3,4006,
Algeria,2020-05-01,4,4154,
Algeria,2020-05-02,5,4295,
Algeria,2020-05-03,6,4474,
Algeria,2020-05-04,0,4648,
Algeria,2020-05-05,1,4838,
Algeria,2020-05-06,2,4997,
Algeria,2020-05-07,3,5182,
Algeria,2020-05-08,4,5369,
Algeria,2020-05-09,5,5558,
Algeria,2020-05-10,6,5723,
Algeria,2020-05-11,0,5891,
Algeria,2020-05-12,1,6067,
Algeria,2020-05-13,2,6253,
Algeria,2020-05-14,3,6442,
Algeria,2020-05-15,4,6629,
Algeria,2020-05-16,5,6821,
Algeria,2020-05-17,6,7019,
Algeria,2020-05-18,0,7201,
Algeria,2020-05-19,1,7377,
Algeria,2020-05-20,2,7542,
Algeria,2020-05-21,3,7728,
Algeria,2020-05-22,4,7918,
Algeria,2020-05-23,5,8113,
Algeria,2020-05-24,6,8306,
Algeria,2020-05-25,0,8503,
Algeria,2020-05-26,1,8697,
Algeria,2020-05-27,2,8857,
Algeria,2020-05-28,3,8997,
Algeria,2020-05-29,4,9134,
Andorra,2020-02-16,6,0,
Andorra,2020-02-17,0,0,
Andorra,2020-02-18,1,0,
Andorra,2020-02-19,2,0,
Andorra,2020-02-20,3,0,
Andorra,2020-02-21,4,0,
Andorra,2020-02-22,5,0,
Andorra,2020-02-23,6,0,
Andorra,2020-02-24,0,0,
Andorra,2020-02-25,1,0,
Andorra,2020-02-26,2,0,
Andorra,2020-02-27,3,0,
Andorra,2020-02-28,4,0,
Andorra,2020-02-29,5,0,
Andorra,2020-03-01,6,0,
Andorra,2020-03-02,0,1,
Andorra,2020-03-03,1,1,
Andorra,2020-03-04,2,1,
Andorra,2020-03-05,3,1,
Andorra,2020-03-06,4,1,
Andorra,2020-03-07,5,1,
Andorra,2020-03-08,6,1,
Andorra,2020-03-09,0,1,
Andorra,2020-03-10,1,1,
Andorra,2020-03-11,2,1,
Andorra,2020-03-12,3,1,
Andorra,2020-03-13,4,1,
Andorra,2020-03-14,5,1,
Andorra,2020-03-15,6,1,
Andorra,2020-03-16,0,2,
Andorra,2020-03-17,1,39,
Andorra,2020-03-18,2,39,
Andorra,2020-03-19,3,53,
Andorra,2020-03-20,4,75,
Andorra,2020-03-21,5,88,
Andorra,2020-03-22,6,113,
Andorra,2020-03-23,0,133,
Andorra,2020-03-24,1,164,
Andorra,2020-03-25,2,188,
Andorra,2020-03-26,3,224,
Andorra,2020-03-27,4,267,
Andorra,2020-03-28,5,308,
Andorra,2020-03-29,6,334,
Andorra,2020-03-30,0,370,
Andorra,2020-03-31,1,376,
Andorra,2020-04-01,2,390,
Andorra,2020-04-02,3,428,
Andorra,2020-04-03,4,439,
Andorra,2020-04-04,5,466,
Andorra,2020-04-05,6,501,
Andorra,2020-04-06,0,525,
Andorra,2020-04-07,1,545,
Andorra,2020-04-08,2,564,
Andorra,2020-04-09,3,583,
Andorra,2020-04-10,4,601,
Andorra,2020-04-11,5,601,
Andorra,2020-04-12,6,638,
Andorra,2020-04-13,0,646,
Andorra,2020-04-14,1,659,
Andorra,2020-04-15,2,673,
Andorra,2020-04-16,3,673,
Andorra,2020-04-17,4,696,
Andorra,2020-04-18,5,704,
Andorra,2020-04-19,6,713,
Andorra,2020-04-20,0,717,
Andorra,2020-04-21,1,717,
Andorra,2020-04-22,2,723,
Andorra,2020-04-23,3,723,
Andorra,2020-04-24,4,731,
Andorra,2020-04-25,5,738,
Andorra,2020-04-26,6,738,
Andorra,2020-04-27,0,743,
Andorra,2020-04-28,1,743,
Andorra,2020-04-29,2,743,
Andorra,2020-04-30,3,745,
Andorra,2020-05-01,4,745,
Andorra,2020-05-02,5,747,
Andorra,2020-05-03,6,748,
Andorra,2020-05-04,0,750,
Andorra,2020-05-05,1,751,
Andorra,2020-05-06,2,751,
Andorra,2020-05-07,3,752,
Andorra,2020-05-08,4,752,
Andorra,2020-05-09,5,754,
Andorra,2020-05-10,6,755,
Andorra,2020-05-11,0,755,
Andorra,2020-05-12,1,758,
Andorra,2020-05-13,2,760,
Andorra,2020-05-14,3,761,
Andorra,2020-05-15,4,761,
Andorra,2020-05-16,5,761,
Andorra,2020-05-17,6,761,
Andorra,2020-05-18,0,761,
Andorra,2020-05-19,1,761,
Andorra,2020-05-20,2,762,
Andorra,2020-05-21,3,762,
Andorra,2020-05-22,4,762,
Andorra,2020-05-23,5,762,
Andorra,2020-05-24,6,762,
Andorra,2020-05-25,0,763,
Andorra,2020-05-26,1,763,
Andorra,2020-05-27,2,763,
Andorra,2020-05-28,3,763,
Andorra,2020-05-29,4,764,
Angola,2020-02-16,6,0,2
Angola,2020-02-17,0,0,0
Angola,2020-02-18,1,0,-1
Angola,2020-02-19,2,0,1
Angola,2020-02-20,3,0,-1
Angola,2020-02-21,4,0,0
Angola,2020-02-22,5,0,0
Angola,2020-02-23,6,0,1
Angola,2020-02-24,0,0,12
Angola,2020-02-25,1,0,13
Angola,2020-02-26,2,0,-1
Angola,2020-02-27,3,0,-1
Angola,2020-02-28,4,0,0
Angola,2020-02-29,5,0,0
Angola,2020-03-01,6,0,0
Angola,2020-03-02,0,0,-1
Angola,2020-03-03,1,0,-2
Angola,2020-03-04,2,0,-1
Angola,2020-03-05,3,0,-2
Angola,2020-03-06,4,0,-1
Angola,2020-03-07,5,0,-1
Angola,2020-03-08,6,0,0
Angola,2020-03-09,0,0,-1
Angola,2020-03-10,1,0,-2
Angola,2020-03-11,2,0,-1
Angola,2020-03-12,3,0,-2
Angola,2020-03-13,4,0,-1
Angola,2020-03-14,5,0,1
Angola,2020-03-15,6,0,2
Angola,2020-03-16,0,0,-1
Angola,2020-03-17,1,0,0
Angola,2020-03-18,2,0,0
Angola,2020-03-19,3,0,0
Angola,2020-03-20,4,1,2
Angola,2020-03-21,5,2,5
Angola,2020-03-22,6,2,13
Angola,2020-03-23,0,3,26
Angola,2020-03-24,1,3,12
Angola,2020-03-25,2,3,15
Angola,2020-03-26,3,4,11
Angola,2020-03-27,4,4,26
Angola,2020-03-28,5,5,20
Angola,2020-03-29,6,7,22
Angola,2020-03-30,0,7,30
Angola,2020-03-31,1,7,29
Angola,2020-04-01,2,8,28
Angola,2020-04-02,3,8,28
Angola,2020-04-03,4,8,32
Angola,2020-04-04,5,10,24
Angola,2020-04-05,6,14,22
Angola,2020-04-06,0,16,28
Angola,2020-04-07,1,17,28
Angola,2020-04-08,2,19,28
Angola,2020-04-09,3,19,27
Angola,2020-04-10,4,19,36
Angola,2020-04-11,5,19,22
Angola,2020-04-12,6,19,21
Angola,2020-04-13,0,19,29
Angola,2020-04-14,1,19,27
Angola,2020-04-15,2,19,29
Angola,2020-04-16,3,19,25
Angola,2020-04-17,4,19,31
Angola,2020-04-18,5,24,23
Angola,2020-04-19,6,24,21
Angola,2020-04-20,0,24,28
Angola,2020-04-21,1,24,27
Angola,2020-04-22,2,25,28
Angola,2020-04-23,3,25,26
Angola,2020-04-24,4,25,29
Angola,2020-04-25,5,25,18
Angola,2020-04-26,6,26,19
Angola,2020-04-27,0,27,21
Angola,2020-04-28,1,27,17
Angola,2020-04-29,2,27,20
Angola,2020-04-30,3,27,18
Angola,2020-05-01,4,30,31
Angola,2020-05-02,5,35,16
Angola,2020-05-03,6,35,19
Angola,2020-05-04,0,35,22
Angola,2020-05-05,1,36,19
Angola,2020-05-06,2,36,22
Angola,2020-05-07,3,36,19
Angola,2020-05-08,4,43,24
Angola,2020-05-09,5,43,16
Angola,2020-05-10,6,45,19
Angola,2020-05-11,0,45,21
Angola,2020-05-12,1,45,20
Angola,2020-05-13,2,45,20
Angola,2020-05-14,3,48,18
Angola,2020-05-15,4,48,23
Angola,2020-05-16,5,48,17
Angola,2020-05-17,6,48,18
Angola,2020-05-18,0,50,21
Angola,2020-05-19,1,52,20
Angola,2020-05-20,2,52,21
Angola,2020-05-21,3,58,20
Angola,2020-05-22,4,60,22
Angola,2020-05-23,5,61,15
Angola,2020-05-24,6,69,17
Angola,2020-05-25,0,70,19
Angola,2020-05-26,1,70,16
Angola,2020-05-27,2,71,16
Angola,2020-05-28,3,74,15
Angola,2020-05-29,4,81,17
Antigua and Barbuda,2020-02-16,6,0,
Antigua and Barbuda,2020-02-17,0,0,3
Antigua and Barbuda,2020-02-18,1,0,1
Antigua and Barbuda,2020-02-19,2,0,1
Antigua and Barbuda,2020-02-20,3,0,1
Antigua and Barbuda,2020-02-21,4,0,3
Antigua and Barbuda,2020-02-22,5,0,0
Antigua and Barbuda,2020-02-23,6,0,
Antigua and Barbuda,2020-02-24,0,0,1
Antigua and Barbuda,2020-02-25,1,0,1
Antigua and Barbuda,2020-02-26,2,0,2
Antigua and Barbuda,2020-02-27,3,0,1
Antigua and Barbuda,2020-02-28,4,0,0
Antigua and Barbuda,2020-02-29,5,0,-1
Antigua and Barbuda,2020-03-01,6,0,
Antigua and Barbuda,2020-03-02,0,0,0
Antigua and Barbuda,2020-03-03,1,0,1
Antigua and Barbuda,2020-03-04,2,0,0
Antigua and Barbuda,2020-03-05,3,0,2
Antigua and Barbuda,2020-03-06,4,0,0
Antigua and Barbuda,2020-03-07,5,0,0
Antigua and Barbuda,2020-03-08,6,0,
Antigua and Barbuda,2020-03-09,0,0,1
Antigua and Barbuda,2020-03-10,1,0,1
Antigua and Barbuda,2020-03-11,2,0,0
Antigua and Barbuda,2020-03-12,3,0,1
Antigua and Barbuda,2020-03-13,4,1,0
Antigua and Barbuda,2020-03-14,5,1,4
Antigua and Barbuda,2020-03-15,6,1,
Antigua and Barbuda,2020-03-16,0,1,9
Antigua and Barbuda,2020-03-17,1,1,11
Antigua and Barbuda,2020-03-18,2,1,10
Antigua and Barbuda,2020-03-19,3,1,12
Antigua and Barbuda,2020-03-20,4,1,13
Antigua and Barbuda,2020-03-21,5,1,
Antigua and Barbuda,2020-03-22,6,1,
Antigua and Barbuda,2020-03-23,0,3,14
Antigua and Barbuda,2020-03-24,1,3,17
Antigua and Barbuda,2020-03-25,2,3,14
Antigua and Barbuda,2020-03-26,3,7,17
Antigua and Barbuda,2020-03-27,4,7,17
Antigua and Barbuda,2020-03-28,5,7,
Antigua and Barbuda,2020-03-29,6,7,
Antigua and Barbuda,2020-03-30,0,7,23
Antigua and Barbuda,2020-03-31,1,7,22
Antigua and Barbuda,2020-04-01,2,7,16
Antigua and Barbuda,2020-04-02,3,9,
Antigua and Barbuda,2020-04-03,4,15,
Antigua and Barbuda,2020-04-04,5,15,
Antigua and Barbuda,2020-04-05,6,15,
Antigua and Barbuda,2020-04-06,0,15,
Antigua and Barbuda,2020-04-07,1,19,
Antigua and Barbuda,2020-04-08,2,19,
Antigua and Barbuda,2020-04-09,3,19,
Antigua and Barbuda,2020-04-10,4,19,
Antigua and Barbuda,2020-04-11,5,21,
Antigua and Barbuda,2020-04-12,6,21,
Antigua and Barbuda,2020-04-13,0,23,
Antigua and Barbuda,2020-04-14,1,23,
Antigua and Barbuda,2020-04-15,2,23,
Antigua and Barbuda,2020-04-16,3,23,
Antigua and Barbuda,2020-04-17,4,23,
Antigua and Barbuda,2020-04-18,5,23,
Antigua and Barbuda,2020-04-19,6,23,
Antigua and Barbuda,2020-04-20,0,23,
Antigua and Barbuda,2020-04-21,1,23,
Antigua and Barbuda,2020-04-22,2,24,
Antigua and Barbuda,2020-04-23,3,24,
Antigua and Barbuda,2020-04-24,4,24,
Antigua and Barbuda,2020-04-25,5,24,
Antigua and Barbuda,2020-04-26,6,24,
Antigua and Barbuda,2020-04-27,0,24,31
Antigua and Barbuda,2020-04-28,1,24,27
Antigua and Barbuda,2020-04-29,2,24,29
Antigua and Barbuda,2020-04-30,3,24,29
Antigua and Barbuda,2020-05-01,4,25,29
Antigua and Barbuda,2020-05-02,5,25,
Antigua and Barbuda,2020-05-03,6,25,
Antigua and Barbuda,2020-05-04,0,25,
Antigua and Barbuda,2020-05-05,1,25,28
Antigua and Barbuda,2020-05-06,2,25,29
Antigua and Barbuda,2020-05-07,3,25,31
Antigua and Barbuda,2020-05-08,4,25,28
Antigua and Barbuda,2020-05-09,5,25,
Antigua and Barbuda,2020-05-10,6,25,
Antigua and Barbuda,2020-05-11,0,25,27
Antigua and Barbuda,2020-05-12,1,25,26
Antigua and Barbuda,2020-05-13,2,25,26
Antigua and Barbuda,2020-05-14,3,25,25
Antigua and Barbuda,2020-05-15,4,25,26
Antigua and Barbuda,2020-05-16,5,25,
Antigua and Barbuda,2020-05-17,6,25,
Antigua and Barbuda,2020-05-18,0,25,23
Antigua and Barbuda,2020-05-19,1,25,27
Antigua and Barbuda,2020-05-20,2,25,24
Antigua and Barbuda,2020-05-21,3,25,26
Antigua and Barbuda,2020-05-22,4,25,22
Antigua and Barbuda,2020-05-23,5,25,
Antigua and Barbuda,2020-05-24,6,25,
Antigua and Barbuda,2020-05-25,0,25,22
Antigua and Barbuda,2020-05-26,1,25,23
Antigua and Barbuda,2020-05-27,2,25,22
Antigua and Barbuda,2020-05-28,3,25,22
Antigua and Barbuda,2020-05-29,4,25,22
Argentina,2020-02-16,6,0,2
Argentina,2020-02-17,0,0,1
Argentina,2020-02-18,1,0,-1
Argentina,2020-02-19,2,0,-2
Argentina,2020-02-20,3,0,-1
Argentina,2020-02-21,4,0,-1
Argentina,2020-02-22,5,0,0
Argentina,2020-02-23,6,0,0
Argentina,2020-02-24,0,0,6
Argentina,2020-02-25,1,0,7
Argentina,2020-02-26,2,0,-2
Argentina,2020-02-27,3,0,0
Argentina,2020-02-28,4,0,-1
Argentina,2020-02-29,5,0,1
Argentina,2020-03-01,6,0,2
Argentina,2020-03-02,0,0,-1
Argentina,2020-03-03,1,1,-1
Argentina,2020-03-04,2,1,-2
Argentina,2020-03-05,3,1,-1
Argentina,2020-03-06,4,2,-2
Argentina,2020-03-07,5,8,1
Argentina,2020-03-08,6,12,2
Argentina,2020-03-09,0,12,-1
Argentina,2020-03-10,1,17,-2
Argentina,2020-03-11,2,19,0
Argentina,2020-03-12,3,19,-1
Argentina,2020-03-13,4,31,-1
Argentina,2020-03-14,5,34,7
Argentina,2020-03-15,6,45,9
Argentina,2020-03-16,0,56,6
Argentina,2020-03-17,1,68,11
Argentina,2020-03-18,2,79,12
Argentina,2020-03-19,3,97,13
Argentina,2020-03-20,4,128,29
Argentina,2020-03-21,5,158,28
Argentina,2020-03-22,6,266,27
Argentina,2020-03-23,0,301,32
Argentina,2020-03-24,1,387,31
Argentina,2020-03-25,2,387,28
Argentina,2020-03-26,3,502,30
Argentina,2020-03-27,4,589,32
Argentina,2020-03-28,5,690,29
Argentina,2020-03-29,6,745,27
Argentina,2020-03-30,0,820,28
Argentina,2020-03-31,1,1054,30
Argentina,2020-04-01,2,1054,27
Argentina,2020-04-02,3,1133,29
Argentina,2020-04-03,4,1265,31
Argentina,2020-04-04,5,1451,27
Argentina,2020-04-05,6,1451,26
Argentina,2020-04-06,0,1554,26
Argentina,2020-04-07,1,1628,25
Argentina,2020-04-08,2,1715,24
Argentina,2020-04-09,3,1795,27
Argentina,2020-04-10,4,1975,35
Argentina,2020-04-11,5,1975,27
Argentina,2020-04-12,6,2142,25
Argentina,2020-04-13,0,2208,25
Argentina,2020-04-14,1,2277,24
Argentina,2020-04-15,2,2443,24
Argentina,2020-04-16,3,2571,26
Argentina,2020-04-17,4,2669,28
Argentina,2020-04-18,5,2758,26
Argentina,2020-04-19,6,2839,25
Argentina,2020-04-20,0,2941,24
Argentina,2020-04-21,1,3031,23
Argentina,2020-04-22,2,3144,23
Argentina,2020-04-23,3,3435,24
Argentina,2020-04-24,4,3607,27
Argentina,2020-04-25,5,3780,26
Argentina,2020-04-26,6,3892,25
Argentina,2020-04-27,0,4003,24
Argentina,2020-04-28,1,4127,20
Argentina,2020-04-29,2,4285,21
Argentina,2020-04-30,3,4428,22
Argentina,2020-05-01,4,4532,33
Argentina,2020-05-02,5,4681,24
Argentina,2020-05-03,6,4783,24
Argentina,2020-05-04,0,4887,21
Argentina,2020-05-05,1,5020,21
Argentina,2020-05-06,2,5208,20
Argentina,2020-05-07,3,5371,21
Argentina,2020-05-08,4,5611,23
Argentina,2020-05-09,5,5776,21
Argentina,2020-05-10,6,6034,21
Argentina,2020-05-11,0,6278,19
Argentina,2020-05-12,1,6563,19
Argentina,2020-05-13,2,6879,19
Argentina,2020-05-14,3,7134,18
Argentina,2020-05-15,4,7479,22
Argentina,2020-05-16,5,7805,20
Argentina,2020-05-17,6,8068,20
Argentina,2020-05-18,0,8371,18
Argentina,2020-05-19,1,8809,18
Argentina,2020-05-20,2,9283,18
Argentina,2020-05-21,3,9931,21
Argentina,2020-05-22,4,10649,22
Argentina,2020-05-23,5,11353,20
Argentina,2020-05-24,6,12076,20
Argentina,2020-05-25,0,12628,25
Argentina,2020-05-26,1,13228,17
Argentina,2020-05-27,2,13933,18
Argentina,2020-05-28,3,14702,19
Argentina,2020-05-29,4,15419,21
Armenia,2020-02-16,6,0,
Armenia,2020-02-17,0,0,
Armenia,2020-02-18,1,0,
Armenia,2020-02-19,2,0,
Armenia,2020-02-20,3,0,
Armenia,2020-02-21,4,0,
Armenia,2020-02-22,5,0,
Armenia,2020-02-23,6,0,
Armenia,2020-02-24,0,0,
Armenia,2020-02-25,1,0,
Armenia,2020-02-26,2,0,
Armenia,2020-02-27,3,0,
Armenia,2020-02-28,4,0,
Armenia,2020-02-29,5,0,
Armenia,2020-03-01,6,1,
Armenia,2020-03-02,0,1,
Armenia,2020-03-03,1,1,
Armenia,2020-03-04,2,1,
Armenia,2020-03-05,3,1,
Armenia,2020-03-06,4,1,
Armenia,2020-03-07,5,1,
Armenia,2020-03-08,6,1,
